uuid_query,date_stamp,perf_level,period_sop_day,period_eop,cont_nr,asset_id,twrr_net_day_cumul,twrr_gross_day_cumul,twrr_contri_net_day_cumul,twrr_contri_gross_day_cumul,twrr_contri_cap_eff_net_day_cumul,twrr_contri_ccy_eff_net_day_cumul,twrr_contri_inc_eff_net_day_cumul,twrr_contri_taxfee_eff_net_day_cumul,twrr_contri_taxrec_eff_net_day_cumul,twrr_contri_res_eff_net_day_cumul,vol_on_return,vol_on_contrib,maxdd,sop_mkt_val_cont_day,eop_mkt_val,gain_day,real_unreal_pl_day,aic_day,aic_day_ptf,weight,ncf_net_day,ncf_gross_day,twrr_net_day,twrr_gross_day,twrr_cap_eff_net_day,twrr_ccy_eff_net_day,twrr_inc_eff_net_day,twrr_taxfee_eff_net_day,twrr_taxrec_eff_net_day,twrr_res_eff_net_day,twrr_contri_net_day,twrr_contri_gross_day,twrr_contri_cap_eff_net_day,twrr_contri_ccy_eff_net_day,twrr_contri_inc_eff_net_day,twrr_contri_taxfee_eff_net_day,twrr_contri_taxrec_eff_net_day,twrr_contri_res_eff_net_day,cf_fees_day,cf_nrtax_day,cf_rtax_day,cf_tax_day,cf_nnm_day,cf_purch_day,cf_sale_day,cf_rdmpt_day,cf_income_day,cf_cost_day,cf_exp_day
6405082063117571144,1997-05-14,1017332476,1984-12-15,1998-06-29,Yeah attention ,"Forget whom which front professor. Myself traditional thousand.
Stuff institution full they. Girl yourself enter official. Ability yet recognize. Probably development person vote that as.",35.86486283877728,13.655953966350351,5.925141995929987,74.6349406785272,2.3636468243014805,38.04318270753438,46.42909716265178,44.11803344977757,25.06696573053949,78.9082432599088,87.86342953723926,53.44254927746077,74.60053934090938,4.53,62.72,33.64,27.14,74.995594,10.93,38.242828,38.08,1.97,66.058043,8.910475,45.658631,12.415233,21.759553,67.484448,81.828325,13.172902,35.826372,81.415427,49.949193,38.734865,16.210870,28.635992,52.584811,53.072636,38.03,6.78,75.67,88.73,40.41,46,31,33,36.54,16,51
-5574168358204623640,2016-01-16,688142196,2010-04-27,1994-09-19,Hard little bri,Husband decision everybody official but part performance. Network day blue partner table bank property. Military guess me to kitchen explain. Enjoy protect dog during maintain name practice.,33.70302976269039,0.34976519071783363,72.14916279380117,92.53089595311872,83.11055107609266,69.16668891884169,43.634344881786646,85.23969482706072,89.08889257788667,18.99486847368941,16.54104783857527,37.621985966765784,63.917129828742716,24.81,80.71,71.99,27.70,37.410069,65.57,12.621640,87.55,57.43,28.934677,86.865368,82.899242,24.858167,91.822396,43.852144,19.231781,66.183641,3.389358,52.791098,34.799862,12.113824,72.834952,28.565764,47.611836,48.913744,6.42,68.67,78.12,14.78,93.48,45,61,35,70.12,42,74
8989311910810191523,2004-09-22,-1522336724,1979-01-10,2010-06-23,Idea production,"Style Mr rock safe. Couple eat upon more late third. Action democratic practice most game approach food.
Might issue soon president consumer hand or. Skill fight together. Not appear alone appear.",6.070053391926405,43.16548635238659,90.33341224206457,72.93681892062423,36.97377935156504,37.56676018221758,24.91488909462149,9.791386921696557,70.18806561986142,74.75216833456435,73.86190881302245,18.749545398877736,12.264083457516703,34.22,59.97,61.56,28.35,90.436576,26.15,38.616496,46.35,38.80,87.441256,23.764104,41.854920,87.806018,37.785142,42.775303,82.190519,9.085842,83.189879,18.070329,14.954028,49.963549,45.224243,58.005351,6.250361,80.160776,48.64,16.12,43.48,51.47,17.60,39,40,2,60.58,62,61
8855491206045649961,1999-06-01,476916344,2022-07-18,2016-08-28,Certainly fish ,"Such responsibility cold. Stock claim society. Stage western if what.
Realize challenge if. Charge way rise five both hour. Available plan head successful ball building paper.",79.38283058398423,66.26116667537956,75.70567221881896,49.21148220370924,51.535105517397184,51.112928366361906,23.245195170610867,68.0718927728754,34.91784499932946,41.477579674953816,3.3399256009766525,29.63481229383433,6.179640417707734,21.27,2.42,13.71,34.99,52.502745,83.93,46.019811,68.56,21.42,45.693015,38.223513,53.231220,31.679746,86.083272,89.970670,6.571465,15.495532,40.016924,83.776393,81.315550,27.892882,94.759384,5.283655,0.694070,89.507526,94.04,64.35,11.66,58.63,94.31,85,81,32,9.74,28,83
4594195757031868151,2008-12-02,1089385892,1970-07-10,2017-07-23,Particularly ot,"Direction husband pay miss knowledge quickly civil. North method interesting size offer we.
Family movement seven back now. What weight strong hear rich. Any return commercial expert fast.",75.78687524744927,51.63251172222929,89.4252029213934,50.281430317341396,93.09814095995681,23.375368284504052,41.58166733707232,52.65476219603672,14.242630476225864,74.03504197248239,44.15642023910869,63.80370467046188,65.81330926328472,72.02,96.22,62.73,73.68,15.056756,78.25,10.389637,45.14,32.46,96.770806,21.735394,8.080850,30.120228,88.790747,96.930451,74.700653,80.346625,7.748831,32.339362,31.222937,6.272937,10.966818,7.695178,26.795228,64.342756,54.51,95.31,1.68,95.80,30.06,34,81,20,44.33,0,54
211843675956969356,1986-02-04,-2000377569,2021-04-30,2015-08-26,Get experience ,Sister pass direction population pass. Protect imagine through kitchen career his deal if. Already crime word loss environmental poor toward.,41.64732388704174,71.44954789435408,84.19893020140981,15.855956467295393,60.23899595682791,76.78315781611465,43.689525302606526,42.35958052700261,70.09241494377417,60.09632977935957,57.85626032093693,35.19642212702494,74.29219803303516,6.83,0.76,68.93,30.13,53.264002,6.60,12.409069,36.07,91.67,60.909676,21.200722,8.141412,26.794221,16.933521,97.749814,13.168828,14.048895,67.408848,33.700629,66.960007,38.593352,7.348495,68.372724,31.902212,44.307299,33.10,26.53,2.46,41.99,77.44,15,38,22,45.80,94,87
-5608602713499787755,1976-06-12,-514715687,1970-08-22,2011-04-29,Leader knowledg,"Break specific officer coach president success. Yourself none medical painting decide. Accept less me out add even.
Food program defense two.",92.88852621057602,0.24961325156480796,66.65772307957862,17.24011984616395,14.388441892231764,16.148720318306975,68.40034198439115,56.593815602874194,5.267124670503147,90.28540914751261,18.218313603410568,0.6941600409293621,63.590768643878505,11.90,19.65,57.33,9.35,98.505682,62.39,47.933699,24.09,86.23,87.113677,49.605309,37.375171,27.187240,2.405798,0.806101,56.666752,1.726506,73.474169,50.058794,44.762378,11.166866,2.278892,73.511524,29.772356,11.308182,65.84,6.04,96.84,27.39,41.37,92,28,28,7.85,83,39
8481898637024687896,1986-09-13,-948437997,1983-05-02,1977-12-23,Bag risk nation,Hit in argue war involve agree determine. Huge level up pass. Top high discussion wonder reach clearly worker.,78.2071779378482,50.00102961300147,50.99621678585494,63.62326783802994,87.00899153992779,88.6854460430328,9.206109337876855,77.96822107204162,91.46412467710012,32.910534602072325,34.73407356817019,93.78186592905571,44.62932445406088,42.80,84.78,50.99,73.30,1.770005,78.93,78.768990,40.14,24.01,47.586597,29.120536,61.727033,29.633296,89.407999,52.448342,36.803899,76.581245,71.604840,93.160327,92.930315,91.626317,71.682358,15.734249,46.424763,92.522300,64.62,32.48,7.05,92.20,13.11,9,41,25,99.97,26,12
-1474607176949258285,1988-02-25,-1960983547,2022-12-20,2017-03-11,Pay four good e,Cell seek town keep sit senior what. East authority politics pressure thought everything something. Item clear place at property firm.,19.98624681471658,92.63162306702617,80.51477126193244,73.1932421576234,38.02743745338782,71.62094515722141,95.03885284011868,95.46789539729934,93.93805598653024,37.61844682445572,28.573402067626247,4.864462449915188,4.692240412507859,72.44,45.04,2.75,90.72,65.639524,82.86,66.775120,47.82,96.61,47.775788,70.920179,25.896919,79.137491,95.409540,1.331075,71.525268,5.374926,9.961035,66.092936,93.316642,69.733392,9.589085,53.696582,63.067358,2.327834,46.14,56.04,11.74,71.88,84.80,71,73,20,12.09,52,36
-1508039230037003784,1972-07-14,-545339828,1974-11-06,2013-05-06,Off daughter ea,"Professional culture operation oil consider thousand. Present magazine ok again debate carry. Worker task example.
Thought thank quality will. Me big brother his health.",68.01950368025693,28.655565742461917,79.80070872265303,97.75277970578655,10.504441756948665,28.49549523881545,94.56842339095606,101.96223625956077,91.71851305270417,68.51231997715442,69.16399595094292,101.95325283665133,52.98416382004352,69.55,55.23,4.79,96.61,8.382555,85.89,2.860559,67.41,9.75,39.714837,66.498672,53.093283,51.388703,15.188344,37.673405,21.751671,14.695648,28.577581,99.592857,28.194882,68.837960,52.111642,33.140694,92.220147,28.074389,61.91,98.76,42.67,98.47,18.31,47,93,58,22.54,28,45
8203830328297900635,1981-05-19,2108213502,1998-07-02,2016-10-13,Behavior major ,White better industry toward character for. Perform off see cup seven throw significant. Party security set bank provide.,64.04361575579587,7.639612770977298,97.42081090304853,52.736389225509555,15.424807434593902,21.96658112591222,86.23724961437803,31.373448372999547,27.868862337119648,12.73059502623379,67.92308488038488,35.55011576452101,18.173847148726953,67.18,14.56,32.51,90.43,19.966689,76.01,81.558689,78.51,38.10,97.553860,45.825164,47.457566,83.071793,85.651187,0.216954,79.725461,95.126348,71.054541,64.051993,94.840987,51.305083,27.975526,27.502586,27.696061,22.282842,54.02,68.68,18.21,6.61,70.71,84,80,81,78.95,20,18
-2709673000276981425,1987-10-21,300912291,1991-02-13,2009-02-19,Court deep huge,"Place year business especially more. Wrong history window teacher.
Lot leave wind many word reach. Too environment movement sound nearly prepare say.",83.8141614762717,35.97685196821262,34.52974638095866,6.741114934359685,41.58059175246155,98.36597056845054,74.56212806743547,84.05168662766418,45.15051214834978,43.19451819011716,89.73161997455077,95.49697164327286,56.57975165355894,91.85,86.36,47.04,95.86,40.375276,69.37,57.151557,71.13,76.68,50.952836,29.536941,22.324466,32.862330,87.270497,100.656429,40.644710,52.421781,97.572961,71.513147,13.259484,43.952277,51.799620,82.437794,37.118856,99.007821,68.42,61.82,72.02,19.98,88.37,10,85,60,22.54,37,55
159294704507490842,1994-09-19,-1974791658,1983-07-24,1996-02-03,Bag here city i,"Partner do only the. Skill quite hot. Ago blood president mission world wife rule. Present article sometimes toward success.
Make quality dog yes. Six baby us.",40.39126967502247,95.33807536778713,15.037308105258544,66.83715541793224,74.16287850094999,50.78641820770193,73.90933868673385,21.496901138156524,68.11492619384428,48.53172306917084,4.872120721023323,93.35684860757712,82.66767653220423,18.86,10.35,47.98,56.51,13.318356,3.01,67.351384,19.27,52.35,75.674451,4.880515,99.821380,16.785866,76.245548,5.319443,53.869392,63.645486,94.530318,8.701170,37.270702,57.648674,32.570139,79.031778,68.009000,48.953660,89.17,43.65,15.57,22.09,98.34,65,58,52,50.17,98,27
-5366593611571100507,2008-07-07,-1509625618,1976-12-14,2007-05-05,Property clear ,Lawyer later traditional listen. By because those something part financial. Whatever note site pass eat bag. Rule recently arrive develop.,11.37773466558635,84.88085769095073,11.10327695940097,95.4361697073722,66.45976445073777,46.183113338823674,95.13046182331333,37.94056871009291,8.166081494991209,103.36217915718885,67.77504560872717,66.40017439024186,78.07935479811805,15.05,62.02,92.02,23.36,82.050477,73.99,5.785585,77.40,10.76,42.837855,0.243547,12.483826,75.187938,36.331243,64.830233,85.751813,82.394660,92.231554,28.381917,62.531684,25.672435,39.469929,45.300243,14.834869,80.548948,59.62,95.38,22.61,51.47,93.05,48,57,85,30.04,81,79
5034417610653482312,2020-09-05,-376007593,1996-02-14,2015-01-01,More resource s,Girl visit card should. Bring some happen enough crime. Floor system campaign deal leg debate moment. Including deal call quality seven war.,23.0378866259502,7.3617888750213645,6.26220722993712,95.42984880067925,27.323713142164593,45.69201792669082,103.37235631341274,21.842978087335652,64.71767933551907,47.89921394528457,2.237544893078687,89.88746027879465,43.3177077837431,48.27,42.04,42.54,16.55,13.905300,71.49,11.064347,17.96,60.81,76.558070,89.942289,9.585578,58.924283,93.721589,18.245812,43.603323,55.298525,104.761398,94.417425,72.966903,30.936407,66.404347,77.072735,59.387217,36.039623,53.83,95.84,84.24,35.41,105.55,36,76,48,99.50,14,106
-5905503059926600363,2010-09-12,717502217,2023-01-29,1994-01-21,Add there speec,"Name action tax policy herself their hope. Rest small how serve.
Information actually low notice general total. Entire film heavy little paper total officer.",20.95773368385083,19.929249936423517,9.940947800425818,67.31934255456035,92.57051913089037,86.47110200843373,66.82354092048509,62.78793541751614,77.30582462285378,67.56927716075418,67.22215399478598,48.52757716816521,57.92063380054125,104.92,13.50,8.58,63.84,22.364687,6.25,51.093378,46.15,72.13,59.906647,52.094230,50.494279,77.190152,104.115044,65.666652,36.507662,19.684570,19.890649,72.794143,43.684283,96.835688,82.098755,18.843797,74.920070,97.452284,3.87,23.18,67.42,56.24,59.86,60,36,17,54.28,88,106
2915890830808253984,2016-03-12,1168861433,1991-08-17,1987-05-30,Three how table,"Spend time behavior build. Order recognize offer animal son teacher minute. Court anything upon.
Card too note trial film citizen tough. Sit suffer even her. Fill voice two watch serve.",16.072484029505006,58.50949596407565,16.43044368509296,61.221596663549654,91.63924507119947,79.47443070971117,38.45434141787393,33.933749464597824,81.81461213055964,1.2745814669177336,88.52490834560938,37.36531744568758,33.87388909540772,106.71,41.04,37.23,55.38,86.394677,100.02,68.216518,87.95,47.81,103.610465,25.585899,83.854161,80.495198,56.280877,52.972008,24.790977,59.174308,79.075401,99.011513,41.481218,61.914386,6.453980,106.653357,38.891863,68.974037,39.57,54.03,78.92,32.63,91.28,35,87,24,20.14,91,64
-5164841350947108120,1991-04-03,1883936199,1984-10-15,2011-11-15,Live eight woma,"Room development claim traditional black water trip fast. Public hold his explain some send.
Food five assume machine those. To offer but apply age wind. Tell participant small former consider main.",16.280789760991706,71.94574423206468,82.2652811144895,20.200745972032525,65.48462425520728,20.835217614233443,17.80720723492893,24.90901777801712,37.87975363256672,9.878270806746517,34.67574620362517,4.8948430711566076,80.78404091882445,27.90,87.81,35.80,2.24,52.052538,81.36,95.165149,50.88,12.80,87.366547,21.749738,109.536388,74.304710,16.434726,25.376652,4.669950,33.864221,101.332283,84.827307,7.221545,61.922816,36.736736,43.369366,12.252874,104.685179,106.65,31.53,104.51,41.76,79.77,29,32,97,23.71,66,36
5877848168300629933,1974-02-23,1753091484,1993-03-17,1977-04-06,Song energy run,Such ever media say. Beyond imagine list civil finish that skin.,99.46066279537352,72.7186268209499,104.89331442302189,83.64132185879566,73.41188091276976,35.81555783709364,65.1170067895867,45.33907264788152,54.66358660744373,27.718414756686315,37.644638857002434,67.02627063067395,99.57126614351098,51.68,85.51,45.61,100.54,50.305149,68.23,66.515293,72.40,91.76,73.398504,56.137210,12.474135,100.346681,31.399769,14.457579,17.452866,83.383903,82.884768,49.508967,13.379234,100.303238,12.631274,60.176365,72.953356,21.522997,93.08,102.17,88.29,58.44,85.64,46,36,88,31.49,33,59
7536232269441698406,1973-03-03,-1291527015,2017-07-10,1979-02-17,Career former t,"Everyone professor fill human. Issue hope join real great single win another.
Record direction hospital risk. Market soon over list allow floor floor like. Trial after difficult go by.",14.527471865936118,20.372318219466287,28.79475764706081,85.29702062298173,18.99876185056926,66.11733143654192,5.881069783335072,56.41763115712143,105.92835408685364,56.317234306544975,44.88769124134881,41.22227392573939,59.988945103034595,76.39,103.51,105.83,59.64,2.339610,7.24,92.981473,54.72,11.78,58.199741,63.362753,33.857526,69.471970,81.640067,24.264100,43.184859,53.106052,42.917835,70.938373,103.022831,19.921054,9.775241,34.553767,59.517195,30.585610,88.08,53.44,88.72,65.44,11.24,10,12,68,61.45,98,70
4056474887321362109,1977-05-07,2006960216,1976-08-13,1994-08-17,Up cultural nam,"Score often life blue race sell power.
Claim out north return human. Financial western loss research. Thing result phone leg move from.",46.20612296129726,45.639115772393374,63.66330595225165,35.04877319813219,98.67518625129058,98.28171669945976,60.87455747099787,61.691773161258226,8.241465681211698,89.48062137967267,66.6117590789499,33.565368151139815,65.1044089734418,90.28,50.69,26.24,68.04,4.797394,109.54,7.274788,28.67,100.50,27.448626,72.072769,26.681531,33.986219,70.963413,59.036053,70.675382,60.561370,94.858852,80.982369,87.786052,73.146792,25.498628,84.198848,19.965367,90.937517,16.15,97.30,87.98,63.70,110.86,6,18,44,87.69,31,94
-943220933498897726,1987-06-01,1760498940,2015-12-12,2007-09-02,Song particular,"Measure despite to none. Those likely recognize buy position mention.
Two finish interesting product model audience. See popular continue board factor.",88.93721638888465,113.30507153393259,113.79495799898716,27.251913863082603,101.59761397923121,59.48122180176694,35.9293472981693,48.24130229982104,104.68664496815066,51.53725538901748,45.50624516213609,35.42738268531937,105.9189211570846,42.07,46.70,49.13,79.99,58.488539,31.36,37.544481,86.94,87.62,35.252793,53.621676,47.656737,103.831259,58.053771,49.458535,61.433554,53.995719,3.019552,55.991578,75.119371,104.065155,60.001275,89.007071,113.388510,104.349473,43.21,29.81,91.35,60.28,76.84,85,108,99,59.81,64,81
-2606545917196395589,2002-05-24,1149005016,1999-10-01,2004-08-15,They ago law fe,Stock nearly garden rest modern young stage local. Reach sing yeah kitchen other onto lay PM. Six oil where car.,92.40207323424812,85.5655639536773,15.612565187206451,19.363436063105947,31.133063472424926,58.38070035875875,96.34523006985961,74.2770863022609,9.656693325863062,9.005126414892217,19.111449566291146,40.77738769421478,110.65063297155852,84.05,3.47,14.77,31.57,2.420156,86.69,14.215555,10.84,70.55,38.866548,10.289195,17.025047,60.527685,22.442094,46.151619,68.312708,10.505059,52.491832,92.034600,100.578535,52.015367,85.292912,77.141841,44.319467,38.167436,42.74,74.00,83.44,28.29,31.91,29,78,92,67.78,28,90
-2883007486867792172,2008-01-30,1065664158,1989-08-22,1997-09-11,Walk anyone bod,"Trial kitchen ask defense.
Above meet add type. His street anything dream.
World finish leg ball far difference apply test. Close choose group soldier. Call real wonder town.",22.85647337687708,55.906864773956144,76.00712640071487,7.00359422603778,17.89170725277574,13.927344299510159,25.134413186892164,24.43657528235361,1.3850333591369752,0.761522927666924,101.91423090605218,97.07427153858913,33.782562699982755,56.21,51.42,107.45,73.87,95.009118,81.33,98.665908,20.43,6.79,82.771520,62.111904,100.706853,73.115341,36.569103,64.306121,100.931688,111.746488,9.676331,35.034824,86.767393,91.968598,106.380281,20.144903,90.750377,103.608285,4.34,26.92,29.29,97.27,88.65,72,66,35,75.55,86,2
-6354793689933553895,1975-04-16,215609117,2019-03-26,1976-04-22,House this myse,Democratic arrive of term herself activity. Sport tell end address throughout.,77.2536682124421,41.44278566151704,75.18873933916936,97.76839875684568,4.6625873494442045,107.12474219275022,101.6772822939827,41.02309073628907,83.62751200768463,51.68990750287018,103.64324082989577,75.81080527270294,105.36251554564755,62.91,88.05,88.09,31.57,48.524339,58.23,25.018251,92.81,24.48,81.167120,111.037719,110.367110,46.142169,79.889537,41.313702,11.940859,79.160812,102.495900,24.509843,53.352041,88.764165,6.807188,115.313861,109.269272,62.122949,46.52,53.45,23.51,15.65,97.95,35,18,56,83.33,58,54
-426743456937123534,1984-09-10,1759336442,1979-12-16,2000-08-03,Much show look ,Party stage student care present industry fill eight. Respond role one government. Actually resource subject week opportunity.,78.27711981978824,5.40548683959698,22.66385303088944,97.68371724714198,29.30546082073622,0.43447631837268674,58.827319858566504,50.47466875260195,92.422009049717,114.38989059568927,39.30939510054439,32.72989538470344,54.12321130506304,107.26,9.27,29.12,91.60,24.787907,42.73,66.334064,30.25,61.74,14.473744,85.528494,7.634823,52.337693,107.579862,116.184005,66.679425,45.351428,71.813026,109.362337,45.888038,40.726739,93.143301,55.906053,111.737984,91.645289,6.74,99.82,5.80,3.91,41.99,99,112,31,72.42,43,101
-6479221339927748782,2005-04-27,685834357,1973-12-06,2007-09-12,Focus first pul,"Establish through start security west. Apply total improve.
Above letter onto look answer able. I Democrat arrive whole music society.",70.34711658030507,83.46701707371795,49.57515621562647,109.55786984401205,81.61529320553032,49.93988524987009,40.17805296295453,49.641506774090324,41.107548674181764,69.12064514033382,107.30611291866306,36.16297283377477,31.975031222041785,35.60,106.02,93.18,98.18,44.673400,61.36,35.061788,83.18,110.31,83.623036,105.663377,13.753122,25.598959,95.023021,73.127619,71.053853,94.548400,42.449178,42.500472,102.555164,9.810043,10.048635,69.967998,92.102234,117.690915,102.46,17.57,24.19,4.63,30.60,93,27,36,39.79,29,91
-2121508105440583286,1977-07-15,-1536385712,2012-04-28,1982-04-27,Question sit th,"Effort occur page you. Fine require whom our nearly guess training majority.
Purpose throw dog still. Without daughter should such pressure. Plan join authority investment growth mention medical.",75.82774401950249,114.06883814073028,30.168831416247084,102.34792576582633,55.35985313590179,64.20790076134598,54.81501723795331,63.525424943790576,9.319769090684638,82.62997199971768,42.43983375915158,66.32150431808236,99.37509840610286,69.26,20.81,50.97,74.84,113.109944,88.66,82.087290,26.33,62.98,63.920164,3.047262,64.825991,16.599072,27.613029,49.063256,83.411514,86.101678,26.293594,19.993611,73.696504,14.131511,56.196811,81.578961,42.909654,108.761351,65.58,102.02,23.29,77.27,90.14,69,58,49,3.59,77,5
8484243159071425349,2005-08-28,-757545750,2022-07-07,1989-12-18,Return magazine,"Challenge late bit little enjoy collection including. Page wait black phone personal current.
Bed heavy five. Wide six put his work. There ago character.",59.576150295131455,52.794798787688784,36.26362737135086,39.887122096987696,106.83550586317597,42.016672379314464,57.21019187296283,35.181633135435,22.455337326975318,53.2721903985047,94.4194512473076,109.96674410721205,58.04537405928792,107.54,29.35,5.44,99.53,35.850914,81.35,38.262394,110.51,120.32,24.514182,2.819579,108.372585,40.126276,60.619596,12.648708,34.961050,78.304732,72.287057,79.556436,107.509903,119.064769,110.031017,78.215779,58.119978,60.783011,97.56,8.36,67.18,48.96,29.23,100,4,111,43.71,86,117
-7339524497687420561,2022-01-01,1824960409,2004-04-01,2011-12-07,Drug decide tha,"Scientist you house remain. These important design hospital agreement space special. Score at someone.
Position speech section movie. Director heavy tend too herself.",29.79794964838077,98.76450589477231,19.27813481816546,35.33880951506617,36.315547573625985,74.79982854458576,106.02372732231494,93.27271068089493,17.43542715583143,94.05312450751302,1.4557915790409066,78.77849391118023,94.64034149102837,19.31,118.48,78.32,91.58,21.025413,110.06,116.793480,85.71,119.81,9.320271,1.629283,81.221988,52.340767,31.524358,91.342507,111.082762,105.362707,98.543193,58.380585,11.556746,43.367915,76.629599,49.476584,36.643555,25.248817,107.75,32.38,96.81,82.02,43.64,90,72,44,62.26,121,71
6977039616290942684,1984-11-10,-1460073367,1999-08-01,1991-04-19,Democratic tree,"Animal season piece though would if. History management camera blood the.
Can down organization six popular character remain. Work set which road line long. Apply less early arrive.",49.38649045851385,69.4036533292357,101.95865462148174,90.01080641031486,107.21979171553221,103.18591021858404,50.71049335928639,43.9365504862111,29.641303153698114,108.58145274702952,28.680072253692494,73.93209023365951,42.91839921458202,16.19,40.05,35.44,94.33,79.656129,60.13,122.143149,75.21,58.18,69.664288,84.260914,37.529845,114.381954,25.807344,51.957458,11.264028,90.002254,59.855085,41.122837,41.498255,31.893386,20.842922,103.008062,53.716031,108.742519,26.68,101.02,1.31,113.55,30.09,7,55,33,15.68,104,19
-3844946027463824214,1987-10-09,1175105443,2022-09-27,1973-04-15,Again coach sin,Need modern effect else source total clear. War customer leg recently. Television pattern lay everything check.,112.58018106103152,105.42299352880097,62.22781791316907,99.40462544843392,31.495786790841574,98.33054208468057,59.107268542081655,49.541622409629056,62.83596814219467,28.993240710615694,35.95676185853854,40.78100331049718,101.55072478402954,74.26,123.79,14.39,19.43,78.881604,79.96,39.771153,0.55,80.07,0.616229,78.049361,18.437177,63.841932,53.301042,41.573478,117.022444,51.268682,2.118016,38.212033,109.546045,16.243054,109.614300,25.765668,11.767021,90.052688,83.82,50.02,113.87,24.40,80.39,107,26,57,93.59,30,63
-4703332039919370820,1994-08-04,362836455,2009-10-18,1976-12-03,Take spend poli,Interesting tell not current. Break knowledge maybe play whether practice major. Wear risk prove wonder return training.,123.77740122017833,79.62434719010761,99.24612021527379,46.49824670444488,69.16816845989497,32.121954175963616,28.06537526747907,47.79832457382352,118.09609892796816,103.35097296554186,30.38907392267895,34.17862458555382,37.88326759837497,60.15,111.80,17.23,106.10,55.991417,39.65,19.805195,10.51,118.23,89.749563,82.418312,39.242079,20.538708,116.239690,7.271376,73.585038,0.050810,53.572939,29.094876,11.221106,57.837509,2.633402,25.040964,26.679945,61.642638,93.04,21.17,121.69,15.12,33.76,11,60,5,35.11,36,72
-6536751922511015949,1983-04-21,-389475981,1981-12-21,1972-01-22,Figure populati,"White machine value know end data evening. Would mission senior record street human perhaps.
Born indeed until. Standard call subject theory section mind same. International war history have.",100.397889488374,124.25218384027599,121.24420952481522,94.93213417820985,56.17199267903403,73.95173183725078,48.582408499516234,80.63886685420266,49.81394715355936,16.3511598521038,22.807970249121524,46.21213391950283,45.36704567975102,100.55,54.86,25.35,44.66,14.967939,82.20,9.184639,4.84,34.33,123.216137,22.857516,3.488351,120.190089,25.092761,97.103899,87.694041,64.148242,5.326729,3.429604,34.993701,53.469832,36.494014,17.645619,58.760995,8.091877,69.31,52.92,93.94,33.05,64.55,71,19,85,52.75,5,62
6286960689392257256,1993-09-16,-1099189756,1972-01-25,1990-09-23,Player wrong to,"List finally sister attack smile.
Goal onto Republican. Voice director week will along sell protect score. Huge economy usually color. Huge trial old skin authority science long participant.",31.01929372222806,56.268736478277496,115.84436094763998,33.79887479419677,31.650587531492764,80.79405102892873,65.06999517371898,93.45727363457831,33.24318604418444,48.96577225205654,45.69923286103486,76.944090873937,49.664014644738565,32.97,112.01,68.55,119.56,34.908663,47.67,104.166661,64.37,18.80,102.002640,40.239238,70.399592,2.348079,37.463501,21.195751,109.627936,32.788601,107.750199,69.305517,73.186177,72.400852,95.895072,86.208350,96.596501,38.979888,73.59,108.84,121.97,32.83,109.48,0,6,19,21.52,28,104
8159917761641639755,2010-01-19,-318767194,2015-09-04,2010-02-01,Ago left box ca,"Decide again traditional bit never population after.
More almost claim however. Movement there either mission.
Hard public start together agree mention. Bar realize several city.",14.482701994295553,20.12959544743279,72.88539924857213,83.75345159125847,32.51638542661384,99.40686198761836,116.03583649967047,5.339077971139034,75.58705456778887,67.42479829774902,107.97525319815094,62.27698991263135,98.24766887865395,13.10,71.48,122.49,33.43,54.533492,55.00,16.875866,88.88,64.08,24.027694,37.778399,0.428739,76.869186,104.396733,83.569657,73.316665,100.279866,83.985982,71.912997,15.159576,77.448108,117.210148,61.813792,63.434585,10.522075,106.62,43.45,72.98,50.70,60.25,32,108,104,123.41,25,61
-3288941515443716828,2007-07-09,1949011563,1988-12-12,2022-08-05,Energy cold mor,Reduce born simply treat member there use window. Use card certainly executive grow. Member society town life think.,39.294825985546055,93.78106667317229,32.66915915645229,110.05849864731955,4.281693191391488,28.773455653769147,60.9670848345489,33.6786949443918,43.430349712375495,4.311329271157781,74.2107859719859,117.99011174054606,3.050451199591858,47.74,103.43,45.87,93.68,30.298733,46.58,98.174433,53.76,70.48,77.248155,127.442428,74.257577,34.570168,51.169196,85.304367,35.363124,10.402196,119.964950,119.596030,56.032938,59.678116,69.717308,37.963202,82.683123,3.867745,9.60,114.87,113.83,39.76,66.08,33,45,14,2.52,44,23
382042034751868399,1999-12-29,-1184982922,2013-02-21,1984-02-24,Watch example e,"Drive always issue tonight miss. Could throughout table huge message.
Test thus oil as those toward little full. Attack our floor not work receive picture. Item of street indeed half attention of.",21.940149984893374,119.67091834799808,50.71906023111772,70.53970957881701,78.35536213564805,117.54399646708558,79.5280382834457,56.496530306106536,66.07528923610201,42.36526161590654,20.819241462934517,17.905792328666692,14.563714262110295,48.19,30.24,83.83,33.29,70.071539,98.21,22.394554,87.56,43.66,124.208845,127.853781,70.704302,105.768165,49.755330,114.797034,78.445153,50.868416,7.064697,74.054174,3.947413,27.394523,0.554181,117.835690,97.949025,97.974622,110.41,39.76,60.20,90.61,34.64,80,11,35,115.93,61,129
